date,open,high,low,close,adj_close,volume
1980-12-12 00:00:00-05:00,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.09872590005397797,469033600
1980-12-15 00:00:00-05:00,0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.09357535094022751,175884800
1980-12-16 00:00:00-05:00,0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.08670708537101746,105728000
1980-12-17 00:00:00-05:00,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.08885320276021957,86441600
1980-12-18 00:00:00-05:00,0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.09142923355102539,73449600
1980-12-19 00:00:00-05:00,0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09700907766819,48630400
1980-12-22 00:00:00-05:00,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.10173046588897705,37363200
1980-12-23 00:00:00-05:00,0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.1060234010219574,46950400
1980-12-24 00:00:00-05:00,0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,0.11160312592983246,48003200
1980-12-26 00:00:00-05:00,0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,0.12190510332584381,55574400
1980-12-29 00:00:00-05:00,0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,0.12362205237150192,93161600
1980-12-30 00:00:00-05:00,0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,0.12061748653650284,68880000
1980-12-31 00:00:00-05:00,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.11718378961086273,35750400
1981-01-02 00:00:00-05:00,0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,0.1184714287519455,21660800
1981-01-05 00:00:00-05:00,0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,0.11589609086513519,35728000
1981-01-06 00:00:00-05:00,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11074474453926086,45158400
1981-01-07 00:00:00-05:00,0.13839299976825714,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.1060234010219574,55686400
1981-01-08 00:00:00-05:00,0.13560299575328827,0.13560299575328827,0.13504500687122345,0.13504500687122345,0.10387728363275528,39827200
1981-01-09 00:00:00-05:00,0.14229899644851685,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.10945708304643631,21504000
1981-01-12 00:00:00-05:00,0.14229899644851685,0.14229899644851685,0.141183003783226,0.141183003783226,0.10859870165586472,23699200
1981-01-13 00:00:00-05:00,0.1367190033197403,0.1367190033197403,0.13616099953651428,0.13616099953651428,0.10473569482564926,23049600
1981-01-14 00:00:00-05:00,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,0.10516496747732162,14291200
1981-01-15 00:00:00-05:00,0.13950900733470917,0.140625,0.13950900733470917,0.13950900733470917,0.10731104761362076,14067200
1981-01-16 00:00:00-05:00,0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,0.10645259916782379,13395200
1981-01-19 00:00:00-05:00,0.14676299691200256,0.14732100069522858,0.14676299691200256,0.14676299691200256,0.11289085447788239,41574400
1981-01-20 00:00:00-05:00,0.14285700023174286,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.10945708304643631,30083200
1981-01-21 00:00:00-05:00,0.14508900046348572,0.14620499312877655,0.14508900046348572,0.14508900046348572,0.11160312592983246,15904000
1981-01-22 00:00:00-05:00,0.14676299691200256,0.1478790044784546,0.14676299691200256,0.14676299691200256,0.11289085447788239,35548800
1981-01-23 00:00:00-05:00,0.14676299691200256,0.14732100069522858,0.14620499312877655,0.14620499312877655,0.11246158182621002,11222400
1981-01-26 00:00:00-05:00,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11074474453926086,24640000
1981-01-27 00:00:00-05:00,0.1439729928970337,0.1439729928970337,0.14285700023174286,0.14285700023174286,0.10988637059926987,23699200
1981-01-28 00:00:00-05:00,0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,0.10645259916782379,28156800
1981-01-29 00:00:00-05:00,0.13392899930477142,0.13392899930477142,0.1333709955215454,0.1333709955215454,0.1025896742939949,43904000
