Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1980-12-12,0.09848485887050629,0.09891303014611251,0.09848485887050629,0.09848485887050629,469033600
1980-12-15,0.09334685653448105,0.09377502786949679,0.09334685653448105,0.09377502786949679,175884800
1980-12-16,0.08649537712335587,0.0869235426536982,0.08649537712335587,0.0869235426536982,105728000
1980-12-17,0.08863621950149536,0.08906439076477202,0.08863621950149536,0.08863621950149536,86441600
1980-12-18,0.09120599180459976,0.0916341573042555,0.09120599180459976,0.09120599180459976,73449600
1980-12-19,0.09677217900753021,0.09720035025572821,0.09677217900753021,0.09677217900753021,48630400
1980-12-22,0.10148203372955322,0.10191097103382499,0.10148203372955322,0.10148203372955322,37363200
1980-12-23,0.1057644709944725,0.10619264218948761,0.1057644709944725,0.1057644709944725,46950400
1980-12-24,0.11133068054914474,0.11175885181462385,0.11133068054914473,0.11133068054914473,48003200
1980-12-26,0.12160748243331909,0.12203565367779579,0.12160748243331909,0.12160748243331909,55574400
1980-12-29,0.12332013249397278,0.12374830365691514,0.12332013249397278,0.12332013249397278,93161600
1980-12-30,0.12032296508550644,0.12075112484237446,0.12032296508550644,0.12075112484237446,68880000
1980-12-31,0.11689763516187668,0.11732580641410245,0.11689763516187668,0.11732580641410245,35750400
1981-01-02,0.11818215996026993,0.11903850262757996,0.11818215996026993,0.11818215996026993,21660800
1981-01-05,0.11561306565999985,0.11604122522937484,0.11561306565999985,0.11604122522937484,35728000
1981-01-06,0.11047437787055969,0.11090254929049677,0.11047437787055969,0.11090254929049677,45158400
1981-01-07,0.1057644709944725,0.10619264218948761,0.1057644709944725,0.10619264218948761,55686400
1981-01-08,0.10362362116575241,0.10405178085761664,0.10362362116575241,0.10405178085761664,39827200
1981-01-09,0.10918977856636047,0.10961794960797201,0.10918977856636047,0.10918977856636047,21504000
1981-01-12,0.1083335131406784,0.10918984430541134,0.1083335131406784,0.10918984430541134,23699200
1981-01-13,0.10448005050420761,0.10490822203387797,0.10448005050420761,0.10490822203387797,23049600
1981-01-14,0.10490815341472626,0.10533632466433497,0.10490815341472626,0.10490815341472626,14291200
1981-01-15,0.10704903304576874,0.10790536438944272,0.10704903304576874,0.10704903304576874,14067200
1981-01-16,0.10619264096021652,0.10662081215027518,0.10619264096021652,0.10662081215027518,13395200
1981-01-19,0.11261515319347382,0.1130433243459627,0.1126151531934738,0.1126151531934738,41574400
1981-01-20,0.10918977856636047,0.10961794960797201,0.10918977856636047,0.10961794960797201,30083200
1981-01-21,0.11133068054914474,0.1121870116460424,0.11133068054914473,0.11133068054914473,15904000
1981-01-22,0.11261515319347382,0.11347149549845159,0.1126151531934738,0.1126151531934738,35548800
1981-01-23,0.11218702048063278,0.11304336307902693,0.11218702048063278,0.11261519177982986,11222400
1981-01-26,0.11047437787055969,0.11090254929049677,0.11047437787055969,0.11090254929049677,24640000
1981-01-27,0.10961800068616867,0.11047433173435785,0.10961800068616867,0.11047433173435785,23699200
1981-01-28,0.10619264096021652,0.10662081215027518,0.10619264096021652,0.10662081215027518,28156800
1981-01-29,0.10233914852142334,0.10276731981776684,0.10233914852142334,0.10276731981776684,43904000
1981-01-30,0.09677217900753021,0.0976285215039262,0.09677217900753021,0.0976285215039262,46188800
1981-02-02,0.09120599180459976,0.0916341573042555,0.09120599180459976,0.0916341573042555,23766400
1981-02-03,0.09463134407997131,0.09505950960410497,0.09463134407997131,0.09463134407997131,19152000
1981-02-04,0.09805669635534286,0.09848485618521405,0.09805669635534286,0.09805669635534286,27865600
1981-02-05,0.09805669635534286,0.09891302744914575,0.09805669635534286,0.09805669635534286,7929600
1981-02-06,0.09848485887050629,0.09891303014611251,0.09848485887050629,0.09848485887050629,13865600
1981-02-09,0.09334685653448105,0.09420319348748132,0.09334685653448105,0.09420319348748132,16755200
1981-02-10,0.09334685653448105,0.09377502786949679,0.09334685653448105,0.09334685653448105,18345600
1981-02-11,0.09034967422485352,0.09077783981519726,0.09034967422485352,0.09077783981519726,13843200
1981-02-12,0.08949258178472519,0.08992151925215021,0.08949258178472519,0.08992151925215021,14560000
1981-02-13,0.0873517170548439,0.08820805386347605,0.0873517170548439,0.08820805386347605,11155200
1981-02-17,0.08949258178472519,0.08992151925215021,0.08949258178472519,0.08949258178472519,12275200
1981-02-18,0.09334685653448105,0.09420319348748132,0.09334685653448105,0.09334685653448105,19241600
1981-02-19,0.08777985721826553,0.08820802835728697,0.08777985721826553,0.08820802835728697,22310400
1981-02-20,0.08307001739740372,0.0834981885797536,0.08307001739740372,0.0834981885797536,24371200
1981-02-23,0.08435454964637756,0.08478272098169326,0.08435454964637756,0.08435454964637756,14112000
1981-02-24,0.08135735988616943,0.08221369669997755,0.08135735988616943,0.08221369669997755,16979200
1981-02-25,0.08649537712335587,0.0869235426536982,0.08649537712335587,0.08649537712335587,19488000
1981-02-26,0.08777985721826553,0.08820802835728697,0.08777985721826553,0.08777985721826553,10841600
1981-02-27,0.09077785909175873,0.09163419617131913,0.09077785909175873,0.09077785909175873,14761600
1981-03-02,0.09120599180459976,0.0916341573042555,0.09120599180459976,0.09120599180459976,11760000
1981-03-03,0.08992147445678711,0.09034964562864292,0.08992147445678711,0.09034964562864292,16172800
1981-03-04,0.08906442672014236,0.08949259243923957,0.08906442672014236,0.08949259243923957,13708800
1981-03-05,0.08863621950149536,0.08906439076477202,0.08863621950149536,0.08906439076477202,5376000
1981-03-06,0.08777985721826553,0.08863619377927982,0.08777985721826553,0.08863619377927982,11603200
1981-03-09,0.08092919737100601,0.08135736293544257,0.08092919737100601,0.08135736293544257,15321600
1981-03-10,0.07707489281892776,0.07750305827334435,0.07707489281892776,0.07750305827334435,28380800
1981-03-11,0.07407771795988083,0.07493405465729909,0.07407771795988083,0.07493405465729909,29859200
1981-03-12,0.07707489281892776,0.07750305827334435,0.07707489281892776,0.07707489281892776,59248000
1981-03-13,0.07621858268976212,0.07664674829302656,0.07621858268976212,0.07664674829302656,231302400
1981-03-16,0.07921652495861053,0.08007286181834469,0.07921652495861053,0.07921652495861053,37228800
1981-03-17,0.08307001739740372,0.0839263540450743,0.08307001739740372,0.08307001739740372,43747200
1981-03-18,0.08820808678865433,0.08906442391692895,0.08820808678865433,0.08820808678865433,36937600
1981-03-19,0.0873517170548439,0.08777988260064486,0.0873517170548439,0.08777988260064486,37811200
1981-03-20,0.08820808678865433,0.08906442391692895,0.08820808678865433,0.08820808678865433,14604800
1981-03-23,0.09163416922092438,0.09249050604862877,0.09163416922092438,0.09163416922092438,22019200
1981-03-24,0.09120599180459976,0.0916341573042555,0.09120599180459976,0.0916341573042555,28156800
1981-03-25,0.08949258178472519,0.09034969063730416,0.08949258178472519,0.09034969063730416,7056000
1981-03-26,0.08777985721826553,0.08820802835728697,0.08777985721826553,0.08820802835728697,12275200
1981-03-27,0.08478271961212158,0.08521088522348953,0.08478271961212158,0.08521088522348953,12252800
1981-03-30,0.08478271961212158,0.0856390565518886,0.08478271961212158,0.08478271961212158,9900800
1981-03-31,0.08392636477947235,0.0847827015366706,0.08392636477947235,0.0847827015366706,15993600
1981-04-01,0.08307001739740372,0.0834981885797536,0.08307001739740372,0.0834981885797536,34070400
1981-04-02,0.09034967422485352,0.09077783981519726,0.09034967422485352,0.09034967422485352,31404800
1981-04-03,0.09077785909175873,0.09120603049005495,0.09077785909175873,0.09077785909175873,16486400
1981-04-06,0.08906442672014236,0.08949259243923957,0.08906442672014236,0.08949259243923957,22803200
1981-04-07,0.08820808678865433,0.08863625249427545,0.08820808678865433,0.08863625249427545,10684800
1981-04-08,0.09249052405357361,0.09334686104797942,0.09249052405357361,0.09249052405357361,21952000
1981-04-09,0.09420318156480789,0.09463135284563283,0.09420318156480789,0.09420318156480789,12499200
1981-04-10,0.09548765420913696,0.09591581961383455,0.09548765420913696,0.09548765420913696,33465600
1981-04-13,0.09548765420913696,0.09591581961383455,0.09548765420913696,0.09548765420913696,16060800
1981-04-14,0.09548765420913696,0.09591581961383455,0.09548765420913696,0.09548765420913696,6652800
1981-04-15,0.09077785909175873,0.09120603049005495,0.09077785909175873,0.09120603049005495,34048000
1981-04-16,0.08563902229070663,0.08606718773078055,0.08563902229070663,0.08606718773078055,23878400
1981-04-20,0.08820808678865433,0.08863625249427545,0.08820808678865433,0.08820808678865433,35347200
1981-04-21,0.09420318156480789,0.09463135284563283,0.09420318156480789,0.09420318156480789,28537600
1981-04-22,0.09762853384017944,0.09805670514248077,0.09762853384017944,0.09762853384017944,18995200
1981-04-23,0.10019754618406296,0.1006257175179788,0.10019754618406296,0.10019754618406296,58016000
1981-04-24,0.09934122115373611,0.10019755244097973,0.09934122115373611,0.10019755244097973,35056000
1981-04-27,0.09848485887050629,0.09891303014611251,0.09848485887050629,0.09891303014611251,38528000
1981-04-28,0.09677217900753021,0.09720035025572821,0.09677217900753021,0.09720035025572821,32188800
1981-04-29,0.09548765420913696,0.09591581961383455,0.09548765420913696,0.09591581961383455,13641600
1981-04-30,0.09720033407211304,0.09805667642593015,0.09720033407211304,0.09720033407211304,12611200
1981-05-01,0.09720033407211304,0.09805667642593015,0.09720033407211304,0.09720033407211304,16553600
1981-05-04,0.09677217900753021,0.09720035025572821,0.09677217900753021,0.09720035025572821,14448000
1981-05-05,0.09634404629468918,0.09677220622926722,0.09634404629468918,0.09677220622926722,17539200
1981-05-06,0.09377499669790268,0.09420316217356144,0.09377499669790268,0.09420316217356144,18950400
1981-05-07,0.09505949169397354,0.09548766285446554,0.09505949169397354,0.09505949169397354,9363200
