,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,658.0029069287826,25.651567338640003,25.40029225512838,11.901494885352468,88.09850511464754,3,0.0,1,148,37,2025-06-05,2025-06-06,2025-07-30
1,347.27925004722226,18.635429966792348,18.417065928787558,9.03336481016606,90.96663518983394,4,33.33333333333333,2,136,37,2025-05-19,2025-05-20,2025-07-14
2,16.39457345700549,4.049021296190659,3.6145152021711815,1.9559191562986102,98.0440808437014,3,50.0,3,124,37,2025-05-01,2025-05-02,2025-06-25
