,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date,figure
0,19.78750952845423,4.448315358476086,4.044122314453102,1.6848338449895948,98.3151661550104,5,100.0,1,73,18,2025-02-25,2025-02-26,2025-03-15,
1,8.414387030294174,2.9007562859182388,2.4276763916015627,0.9974610517806561,99.00253894821934,5,75.0,2,70,18,2025-02-22,2025-02-23,2025-03-12,
2,37.637305670883435,6.134925074594101,5.529943847656244,2.2485925436205276,97.75140745637947,5,100.0,3,67,18,2025-02-19,2025-02-20,2025-03-09,
3,21.110555375600235,4.594622441028233,3.9164825439453184,1.596323974101539,98.40367602589846,5,75.0,4,64,18,2025-02-16,2025-02-17,2025-03-06,
4,6.245657015824625,2.499131252220384,2.139407348632801,0.8748099305007745,99.12519006949923,5,25.0,5,61,18,2025-02-13,2025-02-14,2025-03-03,
