,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date,figure
0,74.64199901233545,8.639560116830918,8.412474839385316,3.490153053669188,96.50984694633081,5,75.0,1,73,18,2025-02-25,2025-02-26,2025-03-15,
1,103.63126261590685,10.179944136187922,9.470599353186998,3.8658086464004016,96.1341913535996,5,75.0,2,70,18,2025-02-22,2025-02-23,2025-03-12,
2,119.60488489266304,10.936401825676626,10.891915371440666,4.428262829185043,95.57173717081496,5,75.0,3,67,18,2025-02-19,2025-02-20,2025-03-09,
3,102.03835590895126,10.101403660331135,10.073860319173367,4.11007311990213,95.88992688009787,5,50.0,4,64,18,2025-02-16,2025-02-17,2025-03-06,
4,103.30716757312898,10.164013359550891,10.158594954187123,4.153576029737345,95.84642397026265,5,25.0,5,61,18,2025-02-13,2025-02-14,2025-03-03,
