,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,61.91523016490813,7.8686231428953395,7.5959963189672575,3.1505971449862646,96.84940285501374,5,75.0,1,73,18,2025-02-25,2025-02-26,2025-03-15
1,121.01289886069628,11.000586296225137,10.976839347949829,4.462967460878323,95.53703253912168,5,25.0,2,67,18,2025-02-19,2025-02-20,2025-03-09
2,95.63241123125091,9.779182544121513,9.763589576030375,3.9920605245078997,96.0079394754921,5,25.0,3,61,18,2025-02-13,2025-02-14,2025-03-03
