,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,9.752286352426353,3.1228650871317436,2.580371415807226,1.268108273071898,98.7318917269281,3,50.0,1,148,37,2025-06-05,2025-06-06,2025-07-30
1,33.61913176077326,5.7982007347774065,5.108929855883289,2.5338069403535015,97.4661930596465,4,33.33333333333333,2,136,37,2025-05-19,2025-05-20,2025-07-14
2,14.587382086411674,3.819343148554693,3.53145643832093,1.7449933830377646,98.25500661696223,3,0.0,3,124,37,2025-05-01,2025-05-02,2025-06-25
