,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date,figure
0,96.24213726757986,9.810307705040646,9.548226928710914,3.9726454841190426,96.02735451588096,5,50.0,1,73,18,2025-02-25,2025-02-26,2025-03-15,
1,27.777835869835606,5.270468278040918,4.338833618164051,1.7832173413460237,98.21678265865398,5,25.0,2,70,18,2025-02-22,2025-02-23,2025-03-12,
2,5.286098254425487,2.299151637979863,2.082736206054693,0.8465288340723421,99.15347116592766,5,50.0,3,67,18,2025-02-19,2025-02-20,2025-03-09,
3,4.05500262780115,2.0137037090399246,1.5356994628906306,0.6257671912130114,99.37423280878699,5,75.0,4,64,18,2025-02-16,2025-02-17,2025-03-06,
4,8.464131770143172,2.909318093667857,2.61018371582029,1.0672612104333203,98.93273878956668,5,50.0,5,61,18,2025-02-13,2025-02-14,2025-03-03,
