,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,89.64157747163074,9.467923609304775,9.327500540487922,3.871429610316916,96.12857038968309,5,50.0,1,73,18,2025-02-25,2025-02-26,2025-03-15
1,128.99619297371078,11.357649095376683,11.342893955265719,4.611961248115083,95.38803875188492,5,50.0,2,67,18,2025-02-19,2025-02-20,2025-03-09
2,96.34018370228586,9.815303546110322,9.808186037810032,4.010298359406951,95.98970164059305,5,25.0,3,61,18,2025-02-13,2025-02-14,2025-03-03
