,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date,figure
0,88.14699729641777,9.38866323266618,9.14400862334623,3.793761574399919,96.20623842560008,5,75.0,1,73,18,2025-02-25,2025-02-26,2025-03-15,
1,124.53032824975261,11.159315760823,10.543007974315122,4.306936220191675,95.69306377980833,5,75.0,2,70,18,2025-02-22,2025-02-23,2025-03-12,
2,167.36125286331,12.936817725519287,12.912198364041398,5.249910847812759,94.75008915218724,5,75.0,3,67,18,2025-02-19,2025-02-20,2025-03-09,
3,157.67468071402234,12.556857915657975,12.544060214315653,5.11820840800743,94.88179159199257,5,50.0,4,64,18,2025-02-16,2025-02-17,2025-03-06,
4,173.2877298252102,13.163879740608776,13.159586953736056,5.38059659560748,94.61940340439251,5,0.0,5,61,18,2025-02-13,2025-02-14,2025-03-03,
5,120.31529271877416,10.968832787437966,9.966544358196694,4.116071802032009,95.88392819796799,5,50.0,6,58,18,2025-02-10,2025-02-11,2025-02-28,
