,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,13.267475442147502,3.642454590265677,3.1346709806407773,1.5416915131919908,98.45830848680801,3,50.0,1,148,37,2025-06-05,2025-06-06,2025-07-30
1,40.183436741542366,6.339040679909095,5.786497575988356,2.8566162412671003,97.1433837587329,4,33.33333333333333,2,136,37,2025-05-19,2025-05-20,2025-07-14
2,15.754059582406787,3.9691383929521513,3.5336889128677362,1.7499879667486922,98.25001203325131,3,0.0,3,124,37,2025-05-01,2025-05-02,2025-06-25
