,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,9.187073575798442,3.031018570678583,2.3706970214843843,1.1043412377897834,98.89565876221022,3,50.0,1,148,37,2025-06-05,2025-06-06,2025-07-30
1,18.43221847282244,4.293275960478483,3.7834091186523295,1.8859053623008646,98.11409463769914,4,66.66666666666666,2,136,37,2025-05-19,2025-05-20,2025-07-14
2,35.646186950771664,5.970442776777252,5.65936279296874,3.032665517222842,96.96733448277716,3,50.0,3,124,37,2025-05-01,2025-05-02,2025-06-25
