,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,3.8203903062536972,1.9545818750448132,1.7475295544485334,0.865942784288875,99.13405721571112,3,0.0,1,148,37,2025-06-05,2025-06-06,2025-07-30
1,24.854586962355825,4.985437489564564,4.351698659589957,2.165170338043317,97.83482966195669,4,66.66666666666666,2,136,37,2025-05-19,2025-05-20,2025-07-14
2,11.325903967133328,3.365398039925341,2.868792673242306,1.4273155328766658,98.57268446712334,3,50.0,3,124,37,2025-05-01,2025-05-02,2025-06-25
