,mse,rmse,mae,mape,accuracy_pct,common_dates,direction_accuracy,period,train_size,test_size,train_end_date,test_start_date,test_end_date
0,66.01665153584858,8.125063171191261,7.882156120271423,3.269743797055174,96.73025620294483,5,75.0,1,73,18,2025-02-25,2025-02-26,2025-03-15
1,86.56036633889127,9.303782367343471,9.261792794488395,3.765410864357703,96.2345891356423,5,50.0,2,67,18,2025-02-19,2025-02-20,2025-03-09
2,63.2193722537818,7.951061077226221,7.946399984978728,3.2491000748639856,96.75089992513601,5,75.0,3,61,18,2025-02-13,2025-02-14,2025-03-03
